"","Additional Resources","All taxonomy terms","Announcement","Audience","Author","Author / Institution","Body","Body","Body","byline","Climate Topics","Date of Issue","Description","Duration ","Expert Personal Site","Expert/s","Explore/Interactive Image","Header Title","Key Personnel","Learn More Link","Link","Organization Name","Other Expert","Polar Topics","Post date","Primary Image","Project Image","Project Landing Page Image","Project Lead","Project URL","Resource Link","Resource Type","Tagline","Tags","Title","Type"
"Climate Change in Google Earth - COP16","","High School, Climate System, College, Causes of Climate Change, Graduate/Professional, Online Interactive Tool, Impacts of Climate Change, General, Mitigation, Video/Visualization, Adaptation, Marine Ecosystem, Terrestrial Ecosystem","","High School, College, Graduate/Professional, General","","Google","Use Google Earth to learn about adaptation strategies that respond to the effects of climate change. The Google Earth Outreach team and partners created this series of tours and videos. Fly over tree canopies in 3D, learn about how climate change affects our planet and examine strategies for reducing emissions through preserving forest ecosystems. ","Use Google Earth to learn about adaptation strategies that respond to the effects of climate change. The Google Earth Outreach team and partners created this series of tours and videos. Fly over tree canopies in 3D, learn about how climate change affects our planet and examine strategies for reducing emissions through preserving forest ecosystems. ","Use Google Earth to learn about adaptation strategies that respond to the effects of climate change. The Google Earth Outreach team and partners created this series of tours and videos. Fly over tree canopies in 3D, learn about how climate change affects our planet and examine strategies for reducing emissions through preserving forest ecosystems. ","","Climate System, Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Marine Ecosystem, Terrestrial Ecosystem","March 28, 2016 - 2:42pm","","","","","","https://www.google.com/landing/cop16/climatetours.html","Online Interactive Tool, Video/Visualization","","","Climate Change in Google Earth - COP16","Resource"
"Climate Change in Google Earth - COP15","","High School, Climate System, College, Causes of Climate Change, Graduate/Professional, Online Interactive Tool, Arctic, Impacts of Climate Change, General, Mitigation, Video/Visualization, Adaptation, Marine Ecosystem, Terrestrial Ecosystem","","High School, College, Graduate/Professional, General","","Google","Explore the potential impacts of climate change on our planet Earth and learn about solutions for adaptation and mitigation, in the context of the United Nation's Climate Conference (COP15) in Copenhagen. With Google Earth you can view climate change scenarios, interact with narrated tours, investigate deforestation, and even dive into the depths of the oceans.","Explore the potential impacts of climate change on our planet Earth and learn about solutions for adaptation and mitigation, in the context of the United Nation's Climate Conference (COP15) in Copenhagen. With Google Earth you can view climate change scenarios, interact with narrated tours, investigate deforestation, and even dive into the depths of the oceans.","Explore the potential impacts of climate change on our planet Earth and learn about solutions for adaptation and mitigation, in the context of the United Nation's Climate Conference (COP15) in Copenhagen. With Google Earth you can view climate change scenarios, interact with narrated tours, investigate deforestation, and even dive into the depths of the oceans.","","Climate System, Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Arctic, Marine Ecosystem, Terrestrial Ecosystem","March 28, 2016 - 2:38pm","","","","","","https://www.google.com/landing/cop15/","Online Interactive Tool, Video/Visualization","","","Climate Change in Google Earth - COP15","Resource"
"Climate Systems Visualizations","","Climate System, College, Graduate/Professional, Research, Video/Visualization, Images, Sea Ice, Temperature","","College, Graduate/Professional, Research","","National Center for Atmospheric Research","This website contains a number of visualizations that illustrate changes in temperature and weather patterns over time. It also includes a number of climate models.","This website contains a number of visualizations that illustrate changes in temperature and weather patterns over time. It also includes a number of climate models.","This website contains a number of visualizations that illustrate changes in temperature and weather patterns over time. It also includes a number of climate models.","","Climate System","","","","","","","","","","view","","","Sea Ice, Temperature","March 28, 2016 - 2:35pm","","","","","","https://www.vets.ucar.edu/vg/categories/climate.shtml","Video/Visualization, Images","","","Climate Systems Visualizations","Resource"
"Our Changing Homelands, Our Changing Lives (2010)","","High School, College, Arctic, Impacts of Climate Change, Community, General, Video/Visualization, Indigenous Perspectives, Marine Ecosystem, Permafrost, Terrestrial Ecosystem, Temperature","","High School, College, General","","Arctic Health Research Network - Yukon and Vuntut Gwitchin Government","The land that has sustained the Vuntut Gwitchin, People of the Lakes, in the Far North of Yukon, Canada, is undergoing rapid changes from global warming. This video takes you on a journey from nearly 20 years ago to the present with a community whose very survival is at risk.","The land that has sustained the Vuntut Gwitchin, People of the Lakes, in the Far North of Yukon, Canada, is undergoing rapid changes from global warming. This video takes you on a journey from nearly 20 years ago to the present with a community whose very survival is at risk.","The land that has sustained the Vuntut Gwitchin, People of the Lakes, in the Far North of Yukon, Canada, is undergoing rapid changes from global warming. This video takes you on a journey from nearly 20 years ago to the present with a community whose very survival is at risk.","","Impacts of Climate Change","","","","","","","","","","view","","","Arctic, Community, Indigenous Perspectives, Marine Ecosystem, Permafrost, Terrestrial Ecosystem, Temperature","March 28, 2016 - 2:33pm","","","","","","https://www.youtube.com/watch?v=zsHQ3tVfzoU","Video/Visualization","","","Our Changing Homelands, Our Changing Lives (2010)","Resource"
"Earth Now","","High School, Climate System, Online Interactive Tool, Impacts of Climate Change, General, Video/Visualization, Glaciers/Land Ice, Sea Ice, Sea Level Rise, Temperature","","High School, General","","NASA","NASA's Earth Now is an application that visualizes recent global climate data from Earth Science satellites, including surface air temperature, carbon dioxide, carbon monoxide, ozone, and water vapor as well as gravity and sea level variations. Data sets are visually described using ""false color"" maps. Color-coded legends are provided to indicate relative strength or weakness of an environmental condition. The resulting 3D model of the Earth may be rotated by a single finger stroke, and may also be zoomed in or out by pinching 2 fingers. It was developed by the Earth Science Communications and Visualization Technology Applications and Development Teams at NASA's Jet Propulsion Laboratory, with support from NASA Headquarters. Also avialable on Android. ","NASA's Earth Now is an application that visualizes recent global climate data from Earth Science satellites, including surface air temperature, carbon dioxide, carbon monoxide, ozone, and water vapor as well as gravity and sea level variations. Data sets are visually described using ""false color"" maps. Color-coded legends are provided to indicate relative strength or weakness of an environmental condition. The resulting 3D model of the Earth may be rotated by a single finger stroke, and may also be zoomed in or out by pinching 2 fingers. It was developed by the Earth Science Communications and Visualization Technology Applications and Development Teams at NASA's Jet Propulsion Laboratory, with support from NASA Headquarters. Also avialable on Android. ","NASA's Earth Now is an application that visualizes recent global climate data from Earth Science satellites, including surface air temperature, carbon dioxide, carbon monoxide, ozone, and water vapor as well as gravity and sea level variations. Data sets are visually described using ""false color"" maps. Color-coded legends are provided to indicate relative strength or weakness of an environmental condition. The resulting 3D model of the Earth may be rotated by a single finger stroke, and may also be zoomed in or out by pinching 2 fingers. It was developed by the Earth Science Communications and Visualization Technology Applications and Development Teams at NASA's Jet Propulsion Laboratory, with support from NASA Headquarters. Also avialable on Android. ","","Climate System, Impacts of Climate Change","","","","","","","","","","view","","","Glaciers/Land Ice, Sea Ice, Sea Level Rise, Temperature","March 28, 2016 - 2:29pm","","","","","","https://itunes.apple.com/us/app/earth-now/id494633346?mt=8","Online Interactive Tool, Video/Visualization","","","Earth Now","Resource"
"Arctic Monitoring and Assessment Program","","Alaska, High School, Climate System, College, Causes of Climate Change, Graduate/Professional, Arctic, Impacts of Climate Change, Research, Community, General, Mitigation, Video/Visualization, Adaptation, Glaciers/Land Ice, Indigenous Perspectives, Website, Marine Ecosystem, Publication, Data, Permafrost, Sea Ice, Sea Level Rise, Snow, Terrestrial Ecosystem, Temperature","","High School, College, Graduate/Professional, Research, General","","AMAP","The Arctic Monitoring and Assessment Program (AMAP) is mandated to: monitor and assess the status of the Arctic region with respect to pollution and climate change issues; document levels and trends, pathways and processes, and effects on ecosystems and humans, and propose actions to reduce associated threats for consideration by governments; and produce sound science-based, policy-relevant assessments and public outreach products to inform policy and decision-making processes. Their website has a wide range of resources including data and reports on the Arctic region. As well they host a number of educational events both in the region and around the world.","The Arctic Monitoring and Assessment Program (AMAP) is mandated to: monitor and assess the status of the Arctic region with respect to pollution and climate change issues; document levels and trends, pathways and processes, and effects on ecosystems and humans, and propose actions to reduce associated threats for consideration by governments; and produce sound science-based, policy-relevant assessments and public outreach products to inform policy and decision-making processes. Their website has a wide range of resources including data and reports on the Arctic region. As well they host a number of educational events both in the region and around the world.","The Arctic Monitoring and Assessment Program (AMAP) is mandated to: monitor and assess the status of the Arctic region with respect to pollution and climate change issues; document levels and trends, pathways and processes, and effects on ecosystems and humans, and propose actions to reduce associated threats for consideration by governments; and produce sound science-based, policy-relevant assessments and public outreach products to inform policy and decision-making processes. Their website has a wide range of resources including data and reports on the Arctic region. As well they host a number of educational events both in the region and around the world.","","Climate System, Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Alaska, Arctic, Community, Glaciers/Land Ice, Indigenous Perspectives, Marine Ecosystem, Permafrost, Sea Ice, Sea Level Rise, Snow, Terrestrial Ecosystem, Temperature","March 28, 2016 - 2:25pm","","","","","","http://www.amap.no/","Video/Visualization, Website, Publication, Data","","","Arctic Monitoring and Assessment Program","Resource"
"NCA Education Resouces for the Alaska Region","","Alaska, Climate System, College, Causes of Climate Change, Graduate/Professional, Arctic, Impacts of Climate Change, Community, General, Mitigation, Video/Visualization, Adaptation, Glaciers/Land Ice, Images, Curriculum, Indigenous Perspectives, Website, Marine Ecosystem, Publication, Data, Permafrost, Sea Ice, Sea Level Rise, Temperature","","College, Graduate/Professional, General","","PoLAR Partnership, CLEAN, NCSE, NOAA","This webpage features guiding questions for students and key figures, related resources, and lesson plans, videos and visualizations for each of the National Climate Assessment key messages for the Alaska region.  The page contains information that will help educators and students gain a deeper understanding of climate science and the implications of climate variability and climate change for Alaska region.","This webpage features guiding questions for students and key figures, related resources, and lesson plans, videos and visualizations for each of the National Climate Assessment key messages for the Alaska region.  The page contains information that will help educators and students gain a deeper understanding of climate science and the implications of climate variability and climate change for Alaska region.","This webpage features guiding questions for students and key figures, related resources, and lesson plans, videos and visualizations for each of the National Climate Assessment key messages for the Alaska region.  The page contains information that will help educators and students gain a deeper understanding of climate science and the implications of climate variability and climate change for Alaska region.","","Climate System, Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Alaska, Arctic, Community, Glaciers/Land Ice, Indigenous Perspectives, Marine Ecosystem, Permafrost, Sea Ice, Sea Level Rise, Temperature","March 28, 2016 - 2:22pm","","","","","","https://www.climate.gov/teaching/national-climate-assessment-resources-educators...","Video/Visualization, Images, Curriculum, Website, Publication, Data","","","NCA Education Resouces for the Alaska Region","Resource"
"Reports Library","","Albedo, Climate System, College, Antarctic, Causes of Climate Change, Graduate/Professional, Arctic, Impacts of Climate Change, Research, Community, General, Mitigation, Adaptation, Glaciers/Land Ice, Indigenous Perspectives, Marine Ecosystem, Publication, Data, Paleoclimate, Permafrost, Sea Ice, Sea Level Rise, Snow, Terrestrial Ecosystem, Temperature","","College, Graduate/Professional, Research, General","","U.S. Global Change Research Program","The Reports Library features scientific assessments, annual reports and strategic research plans and other resources produced by USGCRP and other collaborative efforts. Select reports by other authoritative scientific bodies such as the Intergovernmental Panel on Climate Change and the Nation Research Council are also available. Most reports are available for download as well, some can be ordered in print free of charge. ","The Reports Library features scientific assessments, annual reports and strategic research plans and other resources produced by USGCRP and other collaborative efforts. Select reports by other authoritative scientific bodies such as the Intergovernmental Panel on Climate Change and the Nation Research Council are also available. Most reports are available for download as well, some can be ordered in print free of charge. ","The Reports Library features scientific assessments, annual reports and strategic research plans and other resources produced by USGCRP and other collaborative efforts. Select reports by other authoritative scientific bodies such as the Intergovernmental Panel on Climate Change and the Nation Research Council are also available. Most reports are available for download as well, some can be ordered in print free of charge. ","","Climate System, Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Albedo, Antarctic, Arctic, Community, Glaciers/Land Ice, Indigenous Perspectives, Marine Ecosystem, Paleoclimate, Permafrost, Sea Ice, Sea Level Rise, Snow, Terrestrial Ecosystem, Temperature","March 28, 2016 - 2:19pm","","","","","","http://www.globalchange.gov/browse/reports","Publication, Data","","","Reports Library","Resource"
"Indicators","","High School, Albedo, Climate System, College, Causes of Climate Change, Graduate/Professional, Arctic, Impacts of Climate Change, Research, General, Video/Visualization, Images, Marine Ecosystem, Publication, Data, Sea Ice, Temperature","","High School, College, Graduate/Professional, Research, General","","U.S. Global Change Research Program","A collection of indicators that can be used to understand how the environment is changing. The indicators communicate some of the key aspects of how the climate is changing such as: temperatures over land and sea, greenhouse gas levels, sea ice extent, etc. Some show trends over time while others show the status of certain resources. Each indicator has a description of what the results mean and some implications. All the indicators are fully traceable and documented by detailed metadata the user can access.","A collection of indicators that can be used to understand how the environment is changing. The indicators communicate some of the key aspects of how the climate is changing such as: temperatures over land and sea, greenhouse gas levels, sea ice extent, etc. Some show trends over time while others show the status of certain resources. Each indicator has a description of what the results mean and some implications. All the indicators are fully traceable and documented by detailed metadata the user can access.","A collection of indicators that can be used to understand how the environment is changing. The indicators communicate some of the key aspects of how the climate is changing such as: temperatures over land and sea, greenhouse gas levels, sea ice extent, etc. Some show trends over time while others show the status of certain resources. Each indicator has a description of what the results mean and some implications. All the indicators are fully traceable and documented by detailed metadata the user can access.","","Climate System, Causes of Climate Change, Impacts of Climate Change","","","","","","","","","","view","","","Albedo, Arctic, Marine Ecosystem, Sea Ice, Temperature","March 28, 2016 - 2:15pm","","","","","","http://www.globalchange.gov/browse/indicators","Video/Visualization, Images, Publication, Data","","","Indicators","Resource"
"Multimedia Gallery","","High School, Climate System, College, Causes of Climate Change, Graduate/Professional, Arctic, Impacts of Climate Change, Research, General, Mitigation, Video/Visualization, Adaptation, Glaciers/Land Ice, Images, Marine Ecosystem, Permafrost, Sea Ice, Sea Level Rise, Snow, Terrestrial Ecosystem, Temperature","","High School, College, Graduate/Professional, Research, General","","U.S. Global Change Research Program","This is a gallery of multimedia graphics, including maps, charts, data visualizations, and photos, from USGCRP reports such as the National Climate Assessment and the Our Changing Planet annual report. These visualizations are available on a wide range of topics. All the media files in the gallery are free to use as long as the original source is credited. ","This is a gallery of multimedia graphics, including maps, charts, data visualizations, and photos, from USGCRP reports such as the National Climate Assessment and the Our Changing Planet annual report. These visualizations are available on a wide range of topics. All the media files in the gallery are free to use as long as the original source is credited. ","This is a gallery of multimedia graphics, including maps, charts, data visualizations, and photos, from USGCRP reports such as the National Climate Assessment and the Our Changing Planet annual report. These visualizations are available on a wide range of topics. All the media files in the gallery are free to use as long as the original source is credited. ","","Climate System, Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Arctic, Glaciers/Land Ice, Marine Ecosystem, Permafrost, Sea Ice, Sea Level Rise, Snow, Terrestrial Ecosystem, Temperature","March 28, 2016 - 2:12pm","","","","","","http://www.globalchange.gov/browse/multimedia","Video/Visualization, Images","","","Multimedia Gallery","Resource"
"3rd National Climate Assessment","","Alaska, High School, College, Causes of Climate Change, Graduate/Professional, Online Interactive Tool, Arctic, Impacts of Climate Change, Research, Community, General, Mitigation, Adaptation, Glaciers/Land Ice, Images, Indigenous Perspectives, Website, Publication, Data, Sea Ice, Sea Level Rise, Snow, Temperature","","High School, College, Graduate/Professional, Research, General","","U.S. Global Change Research Program","This 3rd National Climate Assessment (NCA) report summarizes the impacts of climate change in the US now and in the future. The NCA concludes that the evidence of human induced climate change continues to strengthen and that impacts are increasing across the country. It collects, integrates and assesses observations and research from around the country to help understand what is actually happening and what this means for the lives, livelihoods and future for Americans. Information is presented in an interactive report that allows people to filter by selecting topics and regions of interest.","This 3rd National Climate Assessment (NCA) report summarizes the impacts of climate change in the US now and in the future. The NCA concludes that the evidence of human induced climate change continues to strengthen and that impacts are increasing across the country. It collects, integrates and assesses observations and research from around the country to help understand what is actually happening and what this means for the lives, livelihoods and future for Americans. Information is presented in an interactive report that allows people to filter by selecting topics and regions of interest.","This 3rd National Climate Assessment (NCA) report summarizes the impacts of climate change in the US now and in the future. The NCA concludes that the evidence of human induced climate change continues to strengthen and that impacts are increasing across the country. It collects, integrates and assesses observations and research from around the country to help understand what is actually happening and what this means for the lives, livelihoods and future for Americans. Information is presented in an interactive report that allows people to filter by selecting topics and regions of interest.","","Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Alaska, Arctic, Community, Glaciers/Land Ice, Indigenous Perspectives, Sea Ice, Sea Level Rise, Snow, Temperature","February 29, 2016 - 1:58pm","","","","","","http://nca2014.globalchange.gov/","Online Interactive Tool, Images, Website, Publication, Data","","","3rd National Climate Assessment","Resource"
"The Biggest Story in the World","","High School, College, Audio, Impacts of Climate Change, General, Mitigation, Adaptation","","High School, College, General","","The Guardian","The former editor-in-chief of The Guardian emails his staff on Christmas Eve saying that he wants to tackle 'the biggest story ever told', climate change. The 12 episode podcast examines the role of The Guardian in advocating for and combating an end to climate change. Centered around the idea to 'keep it in the ground' this podcast looks at the economics, politics, and even psychology around climate change. A key focus is in divestment.","The former editor-in-chief of The Guardian emails his staff on Christmas Eve saying that he wants to tackle 'the biggest story ever told', climate change. The 12 episode podcast examines the role of The Guardian in advocating for and combating an end to climate change. Centered around the idea to 'keep it in the ground' this podcast looks at the economics, politics, and even psychology around climate change. A key focus is in divestment.","The former editor-in-chief of The Guardian emails his staff on Christmas Eve saying that he wants to tackle 'the biggest story ever told', climate change. The 12 episode podcast examines the role of The Guardian in advocating for and combating an end to climate change. Centered around the idea to 'keep it in the ground' this podcast looks at the economics, politics, and even psychology around climate change. A key focus is in divestment.","","Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","","February 29, 2016 - 1:54pm","","","","","","http://www.theguardian.com/environment/ng-interactive/2015/mar/16/the-biggest-st...","Audio","","","The Biggest Story in the World","Resource"
"Scenarios for Climate Assessment and Adaptation","","College, Graduate/Professional, Arctic, Impacts of Climate Change, Research, Mitigation, Adaptation, Images, Marine Ecosystem, Publication, Data, Sea Level Rise, Snow, Terrestrial Ecosystem, Temperature","","College, Graduate/Professional, Research","","U.S. Global Change Research Program","Here you can find information about and access to a number of climate and other scenarios that are made as an input to the US National Climate Assessment. Includes data sets, graphics, and documents that have been created to depict a number of plausible future conditions against risks, vulnerabilities, and opportunities that can be examined at regional and national levels. Designed to be useful for a wide range of people. ","Here you can find information about and access to a number of climate and other scenarios that are made as an input to the US National Climate Assessment. Includes data sets, graphics, and documents that have been created to depict a number of plausible future conditions against risks, vulnerabilities, and opportunities that can be examined at regional and national levels. Designed to be useful for a wide range of people. ","Here you can find information about and access to a number of climate and other scenarios that are made as an input to the US National Climate Assessment. Includes data sets, graphics, and documents that have been created to depict a number of plausible future conditions against risks, vulnerabilities, and opportunities that can be examined at regional and national levels. Designed to be useful for a wide range of people. ","","Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Arctic, Marine Ecosystem, Sea Level Rise, Snow, Terrestrial Ecosystem, Temperature","February 29, 2016 - 1:51pm","","","","","","http://scenarios.globalchange.gov/","Images, Publication, Data","","","Scenarios for Climate Assessment and Adaptation","Resource"
"NOAA Weather and Climate Toolkit","","Climate System, College, Antarctic, Graduate/Professional, Arctic, Research, Video/Visualization, Glaciers/Land Ice, Images, Website, Data, Permafrost, Sea Ice, Sea Level Rise, Temperature","","College, Graduate/Professional, Research","","NOAA","A toolkit is available for download that allows for the visualization and export of weather and climate data including radar, satellite, and modeling data. Also provides access to weather/climate web services from a variety of organizations. It includes instructional videos about how to use the toolkit.","A toolkit is available for download that allows for the visualization and export of weather and climate data including radar, satellite, and modeling data. Also provides access to weather/climate web services from a variety of organizations. It includes instructional videos about how to use the toolkit.","A toolkit is available for download that allows for the visualization and export of weather and climate data including radar, satellite, and modeling data. Also provides access to weather/climate web services from a variety of organizations. It includes instructional videos about how to use the toolkit.","","Climate System","","","","","","","","","","view","","","Antarctic, Arctic, Glaciers/Land Ice, Permafrost, Sea Ice, Sea Level Rise, Temperature","February 29, 2016 - 1:48pm","","","","","","http://www.ncdc.noaa.gov/wct/","Video/Visualization, Images, Website, Data","","","NOAA Weather and Climate Toolkit","Resource"
"climate.data.gov","","Albedo, Climate System, College, Antarctic, Graduate/Professional, Arctic, Impacts of Climate Change, Research, General, Video/Visualization, Adaptation, Glaciers/Land Ice, Images, Website, Marine Ecosystem, Data, Paleoclimate, Sea Level Rise, Terrestrial Ecosystem, Temperature","","College, Graduate/Professional, Research, General","","US General Services Administration, Office of Citizen Services and Innovation Technologies","This website provides data related to climate change that can help inform communities, businesses and citizens about climate change and help them prepare for impacts. Includes up to date information on costal flooding, food resilience, water, ecosystem vulnerability, human health, energy infrastructure, transportation, and the Arctic.","This website provides data related to climate change that can help inform communities, businesses and citizens about climate change and help them prepare for impacts. Includes up to date information on costal flooding, food resilience, water, ecosystem vulnerability, human health, energy infrastructure, transportation, and the Arctic.","This website provides data related to climate change that can help inform communities, businesses and citizens about climate change and help them prepare for impacts. Includes up to date information on costal flooding, food resilience, water, ecosystem vulnerability, human health, energy infrastructure, transportation, and the Arctic.","","Climate System, Impacts of Climate Change, Adaptation","","","","","","","","","","view","","","Albedo, Antarctic, Arctic, Glaciers/Land Ice, Marine Ecosystem, Paleoclimate, Sea Level Rise, Terrestrial Ecosystem, Temperature","February 29, 2016 - 1:45pm","","","","","","http://www.data.gov/climate/","Video/Visualization, Images, Website, Data","","","climate.data.gov","Resource"
"Inuit Observations on Climate Change","","High School, Arctic, Impacts of Climate Change, Community, General, Video/Visualization, Adaptation, Family, Indigenous Perspectives, Marine Ecosystem, Permafrost, Sea Ice, Sea Level Rise, Terrestrial Ecosystem, Temperature","","High School, General, Family","","International Institute for Sustainable Development","This video takes a look how changes in the climate have effected the Inuit on Banks Island in the High Arctic of Canada. They discuss the appearance of new species, thinner sea ice, melting permafrost, and other direct effects that climate change is having on their way of life.","This video takes a look how changes in the climate have effected the Inuit on Banks Island in the High Arctic of Canada. They discuss the appearance of new species, thinner sea ice, melting permafrost, and other direct effects that climate change is having on their way of life.","This video takes a look how changes in the climate have effected the Inuit on Banks Island in the High Arctic of Canada. They discuss the appearance of new species, thinner sea ice, melting permafrost, and other direct effects that climate change is having on their way of life.","","Impacts of Climate Change, Adaptation","","","","","","","","","","view","","","Arctic, Community, Indigenous Perspectives, Marine Ecosystem, Permafrost, Sea Ice, Sea Level Rise, Terrestrial Ecosystem, Temperature","February 29, 2016 - 1:39pm","","","","","","http://www.iisd.org/library/inuit-observations-climate-change-full-length-versio...","Video/Visualization","","","Inuit Observations on Climate Change","Resource"
"Climate Education Week Toolkit","","High School, Climate System, Antarctic, Causes of Climate Change, Online Interactive Tool, Arctic, Impacts of Climate Change, Mitigation, Video/Visualization, Adaptation, Curriculum, Website, Sea Level Rise, Temperature","","High School","","Earth Day Network","The toolkit provides educators with the tools they need to run a week of activities for students to learn about and engage with various climate change topics. This includes lesson plans, videos, and ideas for ways students can make a difference at their school.","The toolkit provides educators with the tools they need to run a week of activities for students to learn about and engage with various climate change topics. This includes lesson plans, videos, and ideas for ways students can make a difference at their school.","The toolkit provides educators with the tools they need to run a week of activities for students to learn about and engage with various climate change topics. This includes lesson plans, videos, and ideas for ways students can make a difference at their school.","","Climate System, Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Antarctic, Arctic, Sea Level Rise, Temperature","February 29, 2016 - 1:33pm","","","","","","http://www.earthday.org/climateeducationweek/","Online Interactive Tool, Video/Visualization, Curriculum, Website","","","Climate Education Week Toolkit","Resource"
"Alliance for Climate Education - Resources for Teachers","","High School, Climate System, Causes of Climate Change, Online Interactive Tool, Impacts of Climate Change, Community, Mitigation, Video/Visualization, Adaptation, Curriculum, Website, Publication, Sea Level Rise, Temperature","","High School","","Alliance for Climate Education","The Alliance for Climate Education (ACE) provides resources for High School students and teachers to understand climate change science and solutions. Their primary tool is the ACE Assembly which is a presentation for high school students to teach them the science behind climate change, help them find solutions they can be apart of and inspire them to take action in their community to make a difference. They also create a network of students to help facilitate the discussion and get students working on projects across the country. In addition to this student focus they also have a number of resources for teachers to help students continue the conversation about climate change. There is also a teacher’s network, which includes newsletters and lesson plans and keeps teachers up to date on climate opportunities for their students.","The Alliance for Climate Education (ACE) provides resources for High School students and teachers to understand climate change science and solutions. Their primary tool is the ACE Assembly which is a presentation for high school students to teach them the science behind climate change, help them find solutions they can be apart of and inspire them to take action in their community to make a difference. They also create a network of students to help facilitate the discussion and get students working on projects across the country. In addition to this student focus they also have a number of resources for teachers to help students continue the conversation about climate change. There is also a teacher’s network, which includes newsletters and lesson plans and keeps teachers up to date on climate opportunities for their students.","The Alliance for Climate Education (ACE) provides resources for High School students and teachers to understand climate change science and solutions. Their primary tool is the ACE Assembly which is a presentation for high school students to teach them the science behind climate change, help them find solutions they can be apart of and inspire them to take action in their community to make a difference. They also create a network of students to help facilitate the discussion and get students working on projects across the country. In addition to this student focus they also have a number of resources for teachers to help students continue the conversation about climate change. There is also a teacher’s network, which includes newsletters and lesson plans and keeps teachers up to date on climate opportunities for their students.","","Climate System, Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Community, Sea Level Rise, Temperature","February 29, 2016 - 1:30pm","","","","","","https://acespace.org/teachers","Online Interactive Tool, Video/Visualization, Curriculum, Website, Publication","","","Alliance for Climate Education - Resources for Teachers","Resource"
"Frontier Scientists","","Alaska, Digital game/Simulation, High School, Climate System, College, Causes of Climate Change, Online Interactive Tool, Arctic, Impacts of Climate Change, General, Video/Visualization, Family, Glaciers/Land Ice, Curriculum, Website, Marine Ecosystem, Publication, Permafrost, Sea Ice, Sea Level Rise, Terrestrial Ecosystem, Temperature","","High School, College, General, Family","","Frontier Scientists, National Science Foundation, Elizabeth O'Connell","The goal of Frontier Scientist is to excite the general public about scientific discovery in Alaska and the Arctic. Topics covered include a vast range from geology, ecology, and marine biology to chemistry, humanities, and archaeology. The website includes articles and videos that are built to educate, entertain, and inspire.  There is also a mobile app to explore ongoing science in Alaska and the Arctic.  In addition to the website, you can follow Frontiers Scientists on Twitter (@FrontierSci), YouTube (Frontier Scientists Channel), and Facebook (Frontier Scientists). ","The goal of Frontier Scientist is to excite the general public about scientific discovery in Alaska and the Arctic. Topics covered include a vast range from geology, ecology, and marine biology to chemistry, humanities, and archaeology. The website includes articles and videos that are built to educate, entertain, and inspire.  There is also a mobile app to explore ongoing science in Alaska and the Arctic.  In addition to the website, you can follow Frontiers Scientists on Twitter (@FrontierSci), YouTube (Frontier Scientists Channel), and Facebook (Frontier Scientists). ","The goal of Frontier Scientist is to excite the general public about scientific discovery in Alaska and the Arctic. Topics covered include a vast range from geology, ecology, and marine biology to chemistry, humanities, and archaeology. The website includes articles and videos that are built to educate, entertain, and inspire.  There is also a mobile app to explore ongoing science in Alaska and the Arctic.  In addition to the website, you can follow Frontiers Scientists on Twitter (@FrontierSci), YouTube (Frontier Scientists Channel), and Facebook (Frontier Scientists). ","","Climate System, Causes of Climate Change, Impacts of Climate Change","","","","","","","","","","view","","","Alaska, Arctic, Glaciers/Land Ice, Marine Ecosystem, Permafrost, Sea Ice, Sea Level Rise, Terrestrial Ecosystem, Temperature","February 29, 2016 - 1:26pm","","","","","","http://frontierscientists.com/","Digital game/Simulation, Online Interactive Tool, Video/Visualization, Curriculum, Website, Publication","","","Frontier Scientists","Resource"
